SL_NO,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,PROXIMITY,LIGHT,TIME,CONTEXT
91,-0.89064306,2.6629508,8.905831,0.13621667,-0.04101147,0.67349356,13.743751,-40.631252,-26.681252,5.0,0.0,12:03:43.942579,INDOOR
92,-1.0540473,2.4187422,9.8683,0.13621667,-0.04101147,0.67349356,13.743751,-40.631252,-26.718752,5.0,0.0,12:03:44.041602,INDOOR
93,-0.5363012,2.4139538,9.332,-0.03901416,-0.0061250897,0.5929353,13.743751,-40.631252,-26.718752,5.0,0.0,12:03:44.142346,INDOOR
94,-0.2777274,2.4762032,9.207501,-0.03901416,-0.0061250897,0.5929353,12.8625,-40.631252,-26.831251,5.0,0.0,12:03:44.156101,INDOOR
95,-0.19393034,2.2457612,9.57142,6.657706E-4,-0.0061250897,0.5929353,12.8625,-40.631252,-26.831251,5.0,0.0,12:03:44.251493,INDOOR
96,2.1918917,1.4269443,9.3822775,6.657706E-4,-0.06418029,0.58574504,11.34375,-40.612503,-27.16875,5.0,0.0,12:03:44.347547,INDOOR
97,3.1597476,1.3790601,10.2735195,6.657706E-4,-0.06418029,0.58574504,11.34375,-40.612503,-27.16875,5.0,0.0,12:03:44.450479,INDOOR
98,2.3906105,0.9211691,9.806051,-0.4754934,0.28175414,0.21264714,11.34375,-40.612503,-27.16875,5.0,0.0,12:03:44.555895,INDOOR
99,2.1033063,0.3800795,9.221867,-0.4754934,0.28175414,0.21264714,9.65625,-39.975002,-24.843752,5.0,0.0,12:03:44.613311,INDOOR
100,1.5837644,0.96426475,9.276933,-0.02356828,0.28175414,0.21264714,9.65625,-39.975002,-24.843752,5.0,0.0,12:03:44.680593,INDOOR
101,1.5693992,0.8996213,9.928755,-0.02356828,-0.06231613,-0.08681649,7.3875003,-39.825,-25.63125,5.0,0.0,12:03:44.768840,INDOOR
102,1.2791022,1.0313023,9.777321,-0.02356828,-0.06231613,-0.08681649,7.3875003,-39.825,-25.63125,5.0,0.0,12:03:44.868048,INDOOR
103,1.3132197,1.0384849,9.370307,0.0054593193,-0.2113156,-0.032356452,5.9437504,-39.825,-25.63125,5.0,0.0,12:03:44.964146,INDOOR
104,1.79206,1.0145429,9.185953,0.0054593193,-0.2113156,-0.032356452,5.9437504,-37.8375,-25.087502,5.0,0.0,12:03:45.065166,INDOOR
105,-0.04309563,1.5011644,8.742428,0.085884415,0.0038614697,-0.18428531,5.9437504,-37.8375,-25.087502,5.0,0.0,12:03:45.082451,INDOOR
106,-0.088585466,1.508347,9.245809,0.085884415,0.0038614697,-0.18428531,3.4687502,-38.11875,-25.312502,5.0,0.0,12:03:45.175570,INDOOR
107,-0.62728083,1.050456,10.381259,-0.08055825,-0.23581596,0.23501703,3.4687502,-38.11875,-25.312502,5.0,0.0,12:03:45.270259,INDOOR
108,0.54168814,1.6232687,8.467094,-0.08055825,-0.23581596,0.23501703,1.40625,-38.2125,-25.7625,5.0,0.0,12:03:45.334527,INDOOR
109,2.7862523,1.2545617,11.0857525,-0.1517957,-0.23581596,0.23501703,1.40625,-38.2125,-25.7625,5.0,0.0,12:03:45.456207,INDOOR
110,2.5659857,1.1510124,10.649409,-0.1517957,0.3448692,0.22369893,1.40625,-38.2125,-25.7625,5.0,0.0,12:03:45.525324,INDOOR
111,-0.32800564,1.6687586,10.484209,-0.1517957,0.3448692,0.22369893,-0.075,-37.893753,-26.475,5.0,0.0,12:03:45.677767,INDOOR
112,-0.32800564,1.2114661,9.919178,-0.00998656,0.24553621,-0.34446973,-0.075,-37.893753,-26.475,5.0,0.0,12:03:45.701160,INDOOR
113,-1.7651252,-0.022744916,10.948685,-0.00998656,0.24553621,-0.34446973,-0.5625,-37.575,-27.300001,5.0,0.0,12:03:45.767290,INDOOR
114,0.06703765,0.46627077,9.907207,0.11531147,0.07376739,-0.34446973,-0.5625,-37.575,-27.300001,5.0,0.0,12:03:45.883391,INDOOR
115,1.8231846,0.4973954,9.9550905,0.11531147,0.07376739,0.2841509,-0.5625,-37.575,-27.300001,5.0,0.0,12:03:45.986698,INDOOR
116,4.2544966,-0.5327099,9.332,0.11531147,0.07376739,0.2841509,-0.45000002,-37.21875,-28.087502,5.0,0.0,12:03:46.088496,INDOOR
117,3.4685998,-0.48722005,9.279327,0.17429875,0.36231238,-0.16817367,-0.45000002,-37.21875,-28.087502,5.0,0.0,12:03:46.190462,INDOOR
118,1.459266,0.4902128,9.865907,0.17429875,0.36231238,-0.16817367,-0.056250002,-37.237503,-28.312502,5.0,0.0,12:03:46.191828,INDOOR
119,-0.49799395,0.3298013,10.5704,-0.1288932,-0.23554966,-1.7158241,-0.056250002,-37.237503,-28.312502,5.0,0.0,12:03:46.261148,INDOOR
120,-1.1210849,-0.046686932,9.466075,-0.1288932,-0.23554966,-1.7158241,1.5937501,-37.10625,-28.312502,5.0,0.0,12:03:46.337919,INDOOR
121,-1.1713632,-0.075417355,10.376471,-0.114645705,-0.23554966,-1.7158241,1.5937501,-37.10625,-28.518751,5.0,0.0,12:03:46.475614,INDOOR
122,-1.073201,-0.23822308,10.376471,-0.114645705,-0.6633739,-1.3705554,4.14375,-37.10625,-28.518751,5.0,0.0,12:03:46.524638,INDOOR
123,0.7044938,0.13108255,10.42196,-0.114645705,-0.6633739,-1.3705554,4.14375,-36.375,-28.987501,5.0,0.0,12:03:46.646461,INDOOR
124,0.6901286,0.23882163,10.012551,-0.056457352,-0.40092707,-0.77309287,4.14375,-36.375,-28.987501,5.0,0.0,12:03:46.669813,INDOOR
125,0.7811083,0.741604,9.931149,-0.056457352,-0.40092707,-0.77309287,6.8812504,-35.90625,-29.8875,5.0,0.0,12:03:46.767491,INDOOR
126,0.919972,0.6985083,10.565612,-0.05419373,0.031024912,-0.7266221,6.8812504,-35.90625,-29.8875,5.0,0.0,12:03:46.860388,INDOOR
127,1.2024878,0.7224504,9.660006,-0.05419373,0.031024912,-0.7266221,6.8812504,-35.90625,-29.8875,5.0,0.0,12:03:46.930001,INDOOR
128,1.4496891,0.7152678,10.038888,0.02037258,0.031024912,-0.7266221,10.575001,-33.9375,-30.712502,5.0,0.0,12:03:47.045855,INDOOR
129,1.3611037,0.6793547,9.633669,0.02037258,-0.06258244,-0.66603696,10.575001,-33.9375,-30.712502,5.0,0.0,12:03:47.146676,INDOOR
130,0.96546185,0.66259533,10.120291,0.02037258,-0.06258244,-0.66603696,14.700001,-33.318752,-35.081253,5.0,0.0,12:03:47.156280,INDOOR
131,1.240795,0.6937199,9.892242,-0.12902635,-0.03328853,-0.8176995,14.700001,-33.318752,-35.081253,5.0,0.0,12:03:47.265216,INDOOR
132,1.264737,0.42078096,9.384672,-0.12902635,-0.03328853,-0.8176995,18.618752,-33.318752,-35.081253,5.0,0.0,12:03:47.336569,INDOOR
133,0.82899237,-0.05626374,9.430161,-0.20585628,-0.03328853,-0.8176995,18.618752,-31.050001,-35.41875,5.0,0.0,12:03:47.454945,INDOOR
134,0.31663316,-0.06344634,9.889849,-0.20585628,-0.06324821,-0.9102416,18.618752,-31.050001,-35.41875,5.0,0.0,12:03:47.530133,INDOOR
135,0.75237787,-0.01316811,9.976639,-0.20585628,-0.06324821,-0.9102416,22.78125,-28.425001,-36.46875,5.0,0.0,12:03:47.654584,INDOOR
136,0.84335756,0.45190558,10.196905,-0.043408245,-0.15805395,-0.55751634,22.78125,-28.425001,-36.46875,5.0,0.0,12:03:47.680108,INDOOR
137,1.2910733,-0.027533319,9.815628,-0.043408245,-0.15805395,-0.55751634,26.94375,-24.862501,-37.143753,5.0,0.0,12:03:47.755287,INDOOR
138,1.01574,0.3489549,10.127473,0.04127778,-0.13275467,-0.55751634,26.94375,-24.862501,-37.143753,5.0,0.0,12:03:47.854738,INDOOR
139,0.9487024,0.1933318,10.0029745,0.04127778,-0.13275467,-0.43940863,26.94375,-24.862501,-37.143753,5.0,0.0,12:03:47.930273,INDOOR
140,1.5334862,0.55006784,9.919178,0.04127778,-0.13275467,-0.43940863,29.400002,-21.618752,-38.568752,5.0,0.0,12:03:48.068522,INDOOR
141,1.5885528,0.39683893,9.353547,0.06497922,-0.067642294,-0.30239302,29.400002,-21.618752,-38.568752,5.0,0.0,12:03:48.114890,INDOOR
142,0.3357868,2.0207062,8.901043,0.06497922,-0.067642294,-0.30239302,31.368752,-18.35625,-39.112503,5.0,0.0,12:03:48.161281,INDOOR
143,1.5933412,0.8924387,9.585785,-0.22343263,0.07802832,-0.29560217,31.368752,-18.35625,-39.112503,5.0,0.0,12:03:48.266061,INDOOR
144,1.2743138,0.75836337,9.894637,-0.22343263,0.07802832,-0.29560217,32.9625,-18.35625,-39.112503,5.0,0.0,12:03:48.340525,INDOOR
145,1.5813702,0.9475053,9.399037,-0.11491201,-0.005193011,-0.29560217,32.9625,-14.56875,-39.46875,5.0,0.0,12:03:48.492797,INDOOR
146,1.5047557,1.5514427,10.251971,-0.11491201,-0.005193011,-0.3030588,32.9625,-14.56875,-39.46875,5.0,0.0,12:03:48.531970,INDOOR
147,1.411382,1.1749545,9.363124,-0.11491201,-0.005193011,-0.3030588,34.29375,-11.25,-39.75,5.0,0.0,12:03:48.573591,INDOOR
148,1.1186907,2.0757728,10.031705,-0.041144624,-0.08508549,-0.261781,34.29375,-11.25,-39.75,5.0,0.0,12:03:48.719971,INDOOR
149,1.3156139,1.769315,9.025542,-0.041144624,-0.08508549,-0.261781,35.175003,-8.137501,-39.975002,5.0,0.0,12:03:48.732397,INDOOR
150,1.6915035,3.3883939,8.139089,0.24100897,0.32702655,-0.261781,35.175003,-8.137501,-39.975002,5.0,0.0,12:03:48.873783,INDOOR
151,1.8567034,3.2160115,8.139089,0.24100897,0.32702655,0.08441972,35.831253,-8.137501,-39.975002,5.0,0.0,12:03:48.928462,INDOOR
152,1.0229226,0.015562311,10.364499,0.24100897,0.32702655,0.08441972,35.831253,-5.8500004,-40.0125,5.0,0.0,12:03:49.048363,INDOOR
153,1.0229226,0.015562311,12.05301,-0.093341045,-0.12702903,0.07509893,35.831253,-5.8500004,-40.0125,5.0,0.0,12:03:49.070013,INDOOR
154,0.007182605,-1.1701661,10.400413,-0.093341045,-0.12702903,0.07509893,35.9625,-4.2375,-40.612503,5.0,0.0,12:03:49.167700,INDOOR
155,0.20649989,0.05865794,10.077195,0.15632294,-0.34500235,-0.20918514,35.9625,-4.2375,-40.612503,5.0,0.0,12:03:49.271820,INDOOR
156,0.84335756,0.005985504,9.832388,0.15632294,-0.34500235,-0.20918514,35.9625,-4.2375,-40.612503,5.0,0.0,12:03:49.332147,INDOOR
157,1.4688427,0.31064767,9.576208,-0.009187635,-0.34500235,-0.20918514,36.0,-3.2625,-40.725002,5.0,0.0,12:03:49.447773,INDOOR
158,0.75237787,0.31064767,10.048465,-0.009187635,-0.09613728,-0.3726984,36.0,-3.2625,-40.725002,5.0,0.0,12:03:49.528500,INDOOR
159,-0.22026655,1.2378023,7.5806413,-0.009187635,-0.09613728,-0.3726984,36.075,-2.5687501,-40.93125,5.0,0.0,12:03:49.563756,INDOOR
160,2.2158337,-0.08020575,8.759187,-0.07762886,0.16883944,-0.57429373,36.075,-2.5687501,-40.93125,5.0,0.0,12:03:49.672011,INDOOR
161,0.7811083,1.3694834,8.72088,-0.07762886,0.16883944,-0.57429373,36.24375,-1.5,-40.93125,5.0,0.0,12:03:49.738754,INDOOR
162,2.8341362,1.5945383,9.466075,-0.24686775,0.16883944,-0.57429373,36.24375,-1.5,-40.96875,5.0,0.0,12:03:49.869645,INDOOR
163,1.9524715,1.5921441,8.234857,-0.24686775,0.15525772,-0.42449537,36.600002,-1.5,-40.96875,5.0,0.0,12:03:49.956034,INDOOR
164,0.83617496,1.8770541,9.923966,-0.10758854,0.15525772,-0.42449537,36.600002,-0.3375,-41.193752,5.0,0.0,12:03:50.056188,INDOOR
165,0.3573346,2.4378958,9.8683,-0.10758854,-0.020106273,-0.42449537,36.600002,-0.3375,-41.193752,5.0,0.0,12:03:50.082144,INDOOR
166,1.8830396,0.06584055,9.521142,-0.10758854,-0.020106273,-0.53687745,37.18125,1.25625,-41.41875,5.0,0.0,12:03:50.157872,INDOOR
167,0.40761283,-0.11133038,10.666168,0.026897134,-0.4258269,-0.53687745,37.18125,1.25625,-41.41875,5.0,0.0,12:03:50.287029,INDOOR
168,1.7561469,-1.2012907,10.694899,0.026897134,-0.4258269,-0.31570843,37.18125,1.25625,-41.41875,5.0,0.0,12:03:50.391997,INDOOR
169,0.55605334,-1.0935516,11.454459,0.026897134,-0.4258269,-0.31570843,38.287502,3.1875002,-41.8125,5.0,0.0,12:03:50.393278,INDOOR
170,0.047884032,-0.46088383,10.907983,-0.060185667,-0.38148656,-0.55072546,38.287502,3.1875002,-41.8125,5.0,0.0,12:03:50.491629,INDOOR
171,-1.3557167,-0.6859388,10.335769,-0.060185667,-0.38148656,-0.55072546,40.40625,5.7562504,-42.375,5.0,0.0,12:03:50.593895,INDOOR
